Tijd (s),Setpoint (m),Hoogte (m),Fout,Fout_Integratie,Fout_Afgeleide,PWM
0.000000,0.587040,0.004019,0.587040,0.005870,58.704010,1.000000
0.000000,0.936474,0.012057,0.932455,0.015195,34.541507,1.000000
0.010000,0.936474,0.024114,0.924417,0.024439,-0.803800,1.000000
0.020000,0.936474,0.040190,0.912360,0.033563,-1.205700,1.000000
0.030000,0.936474,0.060285,0.896284,0.042526,-1.607600,1.000000
0.040000,0.936474,0.084399,0.876189,0.051287,-2.009500,1.000000
0.050000,0.936474,0.112532,0.852075,0.059808,-2.411400,1.000000
0.060000,0.936474,0.144684,0.823942,0.068048,-2.813300,1.000000
0.070000,0.936474,0.180855,0.791790,0.075966,-3.215200,1.000000
0.080000,0.936474,0.221045,0.755619,0.083522,-3.617100,1.000000
0.090000,0.936474,0.261742,0.715429,0.090676,-4.019000,0.545603
0.100000,0.936474,0.301826,0.674732,0.097423,-4.069741,0.270919
0.110000,0.936474,0.340990,0.634648,0.103770,-4.008340,0.110860
0.120000,0.936474,0.379173,0.595485,0.109725,-3.916385,0.000000
0.130000,0.936474,0.416374,0.557302,0.115298,-3.818285,0.000000
0.140000,0.936474,0.452595,0.520100,0.120499,-3.720185,0.000000
0.150000,0.936474,0.487835,0.483879,0.125337,-3.622085,0.000000
0.160000,0.936474,0.522094,0.448639,0.129824,-3.523985,0.000000
0.170000,0.936474,0.555372,0.414380,0.133968,-3.425885,0.000000
0.180000,0.936474,0.587669,0.381102,0.137779,-3.327785,0.000000
0.190000,0.936474,0.618984,0.348806,0.141267,-3.229685,0.000000
0.200000,0.936474,0.649319,0.317490,0.144442,-3.131585,0.000000
0.210000,0.936474,0.678673,0.287155,0.147313,-3.033485,0.000000
0.220000,0.936474,0.707046,0.257801,0.149891,-2.935385,0.000000
0.230000,0.936474,0.734438,0.229428,0.152185,-2.837285,0.000000
0.240000,0.936474,0.760849,0.202036,0.154206,-2.739185,0.000000
0.250000,0.936474,0.786279,0.175625,0.155962,-2.641085,0.000000
0.260000,0.936474,0.810727,0.150196,0.157464,-2.542985,0.000000
0.270000,0.936474,0.834195,0.125747,0.158722,-2.444885,0.000000
0.280000,0.936474,0.856682,0.102279,0.159744,-2.346785,0.000000
0.290000,0.936474,0.878188,0.079792,0.160542,-2.248685,0.000000
